County,Trump_twt,Kasich_twt,Cruz_twt,Hillary_twt,Bernie_twt,Unclear_twt,d17_Bernie,d18_Bernie,d19b4_Bernie,d20_Bernie,d19aft_Bernie,d17_Cruz,d18_Cruz,d19b4_Cruz,d20_Cruz,d19aft_Cruz,d17_Hillary,d18_Hillary,d19b4_Hillary,d20_Hillary,d19aft_Hillary,d17_Kasich,d18_Kasich,d19b4_Kasich,d20_Kasich,d19aft_Kasich,d17_Trump,d18_Trump,d19b4_Trump,d20_Trump,d19aft_Trump,d17_Unclear,d18_Unclear,d19b4_Unclear,d20_Unclear,d19aft_Unclear,AllTweets
Albany,1235,320,317,606,508,359,66,84,239,50,69,72,94,68,55,28,107,127,163,45,164,11,240,47,11,11,268,355,304,172,136,67,79,85,69,59,3345
Allegany,28,3,1,12,18,7,3,6,8,0,1,0,1,0,0,0,1,3,3,2,3,1,0,1,1,0,3,6,10,3,6,2,2,1,2,0,69
Bronx,980,14,402,851,845,245,89,222,363,89,82,65,123,116,68,30,141,210,153,120,227,3,4,5,1,1,130,222,300,168,160,49,55,48,47,46,3337
Broome,152,13,54,148,151,46,36,23,68,11,13,19,5,18,8,4,33,23,24,27,41,0,9,2,0,2,15,36,48,11,42,11,9,16,5,5,564
Cattaraugus,72,1,6,20,42,6,4,6,23,2,7,1,2,1,1,1,4,3,4,1,8,0,0,0,1,0,5,39,18,7,3,1,1,0,2,2,147
Cayuga,43,1,7,17,20,6,0,4,9,2,5,1,4,2,0,0,7,6,2,0,2,0,1,0,0,0,18,11,6,2,6,2,3,1,0,0,94
Chautauqua,329,5,743,35,39,155,5,4,15,5,10,196,244,209,65,29,3,9,4,4,15,0,3,1,0,1,92,111,72,15,39,10,62,70,5,8,1306
Chemung,51,0,9,38,14,13,1,3,4,0,6,1,3,2,1,2,1,9,11,3,14,0,0,0,0,0,5,16,18,2,10,1,5,2,2,3,125
Chenango,10,0,1,5,1,1,0,1,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,0,2,1,2,3,2,0,0,0,0,1,18
Clinton,60,7,7,35,75,14,11,15,30,8,11,1,0,1,1,4,3,6,11,5,10,1,3,2,0,1,11,11,17,4,17,3,1,6,1,3,198
Columbia,55,1,28,28,30,18,5,3,13,4,5,2,3,3,18,2,8,3,9,3,5,0,0,0,1,0,12,15,15,6,7,1,4,3,3,7,160
Cortland,49,154,4,8,8,17,0,0,5,2,1,1,0,1,2,0,3,0,1,0,4,14,90,8,32,10,8,14,12,5,10,3,1,1,6,6,240
Delaware,20,3,7,45,20,17,4,4,8,0,4,1,1,0,5,0,6,10,19,5,5,2,0,0,0,1,3,5,4,0,8,4,6,3,2,2,112
Dutchess,866,23,442,145,173,254,29,41,66,13,24,155,97,76,77,37,54,28,23,16,24,8,5,4,3,3,471,131,111,68,85,63,95,37,39,20,1903
Erie,6806,128,1033,1520,897,713,137,214,356,71,119,110,306,379,168,70,279,383,310,155,393,19,49,38,12,10,379,4262,1294,392,479,141,240,127,106,99,11097
Essex,160,6,66,36,53,42,13,14,16,5,5,16,37,10,2,1,9,8,10,1,8,1,2,3,0,0,37,55,37,18,13,10,12,11,6,3,363
Franklin,25,0,7,17,4,5,0,2,2,0,0,3,0,2,2,0,2,6,4,5,0,0,0,0,0,0,3,5,6,4,7,0,2,1,0,2,58
Fulton,20,0,77,6,3,19,1,0,1,1,0,0,28,31,13,5,4,2,0,0,0,0,0,0,0,0,1,5,9,4,1,1,6,7,5,0,125
Genesee,20,3,6,3,4,6,0,0,2,0,2,2,2,0,1,1,0,1,1,0,1,0,2,1,0,0,0,11,6,1,2,0,1,2,1,2,42
Greene,109,3,10,11,23,23,1,6,14,2,0,0,1,4,4,1,1,1,5,1,3,1,2,0,0,0,18,40,27,10,14,1,11,7,2,2,179
Hamilton,186,12,65,204,214,89,53,48,57,45,11,12,17,18,9,9,43,88,28,21,24,1,5,6,0,0,28,55,43,21,39,18,26,22,13,10,770
Herkimer,31,9,26,14,12,7,2,2,7,1,0,3,10,8,5,0,5,3,4,1,1,1,6,1,0,1,1,12,14,2,2,1,1,0,3,2,99
Jefferson,114,8,132,46,24,66,4,1,12,3,4,60,33,11,11,17,7,20,13,5,1,2,3,2,0,1,36,20,24,16,18,30,16,9,4,7,390
Kings,5242,218,1559,5040,4579,1660,926,1038,1840,343,432,188,348,447,366,210,822,1215,1393,520,1090,40,57,70,21,30,764,1275,1538,853,812,312,367,374,295,312,18298
Lewis,8,10,1,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,3,3,2,0,0,1,5,1,1,0,1,0,0,1,23
Livingston,45,4,26,79,130,33,25,36,35,24,10,1,12,5,5,3,34,13,4,17,11,1,1,0,2,0,1,15,9,7,13,11,8,3,8,3,317
Madison,14,0,13,12,8,7,1,0,6,0,1,0,1,9,3,0,1,4,4,0,3,0,0,0,0,0,2,5,5,1,1,4,0,2,1,0,54
Monroe,1894,150,503,922,914,599,141,224,404,61,84,107,143,90,137,26,167,279,249,61,166,12,57,32,45,4,202,619,400,389,284,101,154,157,110,77,4982
Montgomery,24,2,14,209,42,33,5,8,21,6,2,1,2,7,3,1,19,21,69,33,67,1,0,0,0,1,4,5,10,2,3,6,3,12,5,7,324
Nassau,840,39,176,469,311,263,53,90,117,29,22,39,36,51,30,20,73,99,140,60,97,4,9,13,8,5,121,186,273,132,128,44,62,44,50,63,2098
NewYork,58307,1619,12773,26039,19880,11253,3551,4638,7958,1902,1831,2265,3442,3433,2573,1060,4093,6432,7094,3394,5026,288,370,540,237,184,11881,14939,16588,9340,5559,2201,2746,2533,2093,1680,129871
Niagara,365,7,44,72,63,36,15,22,17,3,6,3,17,17,4,3,13,15,11,12,21,2,3,2,0,0,20,197,81,22,45,4,11,8,8,5,587
Oneida,315,22,99,262,258,87,37,65,67,80,9,14,27,41,13,4,40,77,91,24,30,1,11,5,2,3,48,95,102,28,42,14,20,22,18,13,1043
Onondaga,1144,247,333,1340,421,258,41,89,218,42,31,71,101,77,66,18,100,324,634,175,107,11,194,26,7,9,190,276,349,166,163,48,72,53,50,35,3743
Ontario,203,8,42,175,209,55,26,32,106,21,24,8,12,8,13,1,32,42,36,36,29,1,0,3,1,3,25,49,57,52,20,9,15,7,13,11,692
Orange,832,19,630,435,931,311,303,344,166,87,31,126,201,159,112,32,106,136,95,52,46,3,7,4,2,3,173,190,231,167,71,82,81,51,63,34,3158
Orleans,21,0,4,7,10,4,0,6,2,1,1,0,1,1,2,0,0,6,0,1,0,0,0,0,0,0,1,4,13,3,0,0,1,2,0,1,46
Oswego,160,1,20,143,140,37,46,16,44,23,11,3,5,3,7,2,34,39,36,20,14,1,0,0,0,0,26,40,50,23,21,11,12,3,5,6,501
Otsego,70,0,12,19,33,19,7,6,15,3,2,2,5,1,4,0,2,4,9,3,1,0,0,0,0,0,6,32,21,4,7,2,9,6,2,0,153
Putnam,77,4,25,43,36,29,3,7,16,3,7,2,6,7,8,2,6,8,10,3,16,0,1,0,2,1,12,18,17,15,15,8,1,7,6,7,214
Queens,2137,71,550,1658,1359,642,236,356,537,120,110,92,127,150,117,64,288,426,447,199,298,11,21,21,6,12,358,524,672,327,256,128,166,127,128,93,6417
Rensselaer,141,3,50,97,173,50,43,53,58,10,9,3,9,12,16,10,32,29,22,9,5,0,0,2,0,1,33,35,44,12,17,8,8,15,17,2,514
Richmond,1609,29,331,422,301,304,41,58,140,21,41,63,81,81,78,28,113,101,75,63,70,3,8,7,8,3,406,394,432,182,195,88,80,55,48,33,2996
Rockland,153,8,163,64,78,77,10,12,47,1,8,24,60,55,14,10,16,12,12,13,11,1,2,5,0,0,19,33,65,11,25,15,17,22,7,16,543
Saratoga,175,16,61,103,57,35,8,10,26,11,2,12,7,18,18,6,17,22,33,12,19,2,9,4,0,1,28,51,44,28,24,9,6,9,7,4,447
Schenectady,107,32,27,76,162,24,48,46,48,12,8,2,4,10,8,3,21,17,15,10,13,2,23,4,1,2,18,22,30,21,16,4,9,7,3,1,428
Schoharie,133,9,25,3,6,8,0,1,2,2,1,0,2,22,0,1,0,0,3,0,0,0,1,7,0,1,46,84,2,1,0,2,0,6,0,0,184
Schuyler,190,0,20,21,15,18,4,5,2,3,1,3,11,0,5,1,4,8,8,1,0,0,0,0,0,0,111,17,45,13,4,8,4,2,4,0,264
Seneca,31,2,18,25,3,9,0,1,2,0,0,4,6,1,3,4,6,9,4,2,4,1,1,0,0,0,5,6,11,3,6,1,1,2,1,4,88
Steuben,51,1,14,49,53,32,9,14,16,11,3,2,2,2,6,2,9,8,15,8,9,0,0,0,0,1,4,17,17,8,5,1,16,5,6,4,200
StLawrence,84,2,12,26,61,18,12,5,28,2,14,2,2,1,4,3,5,7,5,3,6,1,1,0,0,0,9,20,21,16,18,4,1,4,6,3,203
Suffolk,3937,124,1157,1595,1099,987,184,299,442,87,87,197,319,306,247,88,322,409,358,249,257,32,23,41,14,14,625,983,1142,681,506,173,258,207,192,157,8899
Sullivan,144,3,38,47,42,24,21,4,10,3,4,12,7,11,7,1,19,12,7,6,3,1,2,0,0,0,42,22,32,28,20,6,6,6,5,1,298
Tioga,103,1,17,8,8,17,1,0,4,2,1,2,1,3,11,0,3,2,1,1,1,0,1,0,0,0,11,26,41,21,4,4,3,3,5,2,154
Tompkins,266,17,94,165,233,92,48,40,96,29,20,8,6,26,48,6,17,56,49,14,29,4,3,6,0,4,39,49,70,86,22,9,21,24,29,9,867
Ulster,482,65,100,231,157,163,22,33,60,22,20,11,12,24,42,11,55,54,36,29,57,9,16,22,17,1,132,94,131,52,73,54,40,31,20,18,1198
Warren,316,17,400,88,71,218,7,28,19,9,8,75,129,81,65,50,24,22,22,9,11,0,5,4,3,5,47,124,74,46,25,42,69,57,35,15,1110
Washington,47,3,11,29,16,12,3,6,5,2,0,2,2,2,4,1,10,10,4,1,4,0,3,0,0,0,11,12,15,3,6,2,4,2,4,0,118
Wayne,36,0,6,7,5,7,2,0,2,0,1,1,0,3,2,0,1,1,2,3,0,0,0,0,0,0,4,6,21,3,2,0,2,2,3,0,61
Westchester,1651,62,388,1265,861,470,130,227,379,78,47,89,75,97,94,33,222,400,386,86,171,9,13,23,9,8,402,348,414,236,251,93,109,81,78,109,4697
Wyoming,11,1,6,3,0,3,0,0,0,0,0,3,1,2,0,0,0,0,1,1,1,0,1,0,0,0,0,3,5,2,1,0,1,1,0,1,24
Yates,10,2,18,5,2,1,0,0,1,0,1,2,1,3,0,12,0,3,2,0,0,0,0,0,2,0,1,3,3,1,2,0,1,0,0,0,38
